,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,26,P1 FitzVonGerald,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1.0
2,2,30,26,P2 RehHausZuckFuchs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,
3,3,30,26,P1 FitzVonGerald,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2.0
4,4,24,26,P2 RehHausZuckFuchs,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,
5,5,24,24,P1 FitzVonGerald,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3.0
6,6,18,24,P2 RehHausZuckFuchs,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,7,3.0
7,7,18,18,P1 FitzVonGerald,0,0,1,2,0,0,0,3,0,1,0,5,0,2,0,2,8,
8,8,11,18,P2 RehHausZuckFuchs,0,0,1,2,0,0,0,4,0,2,0,6,0,1,0,2,9,
9,9,11,7,P1 FitzVonGerald,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,4,9,1.0
10,10,4,7,P2 RehHausZuckFuchs,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,4,10,1.0
11,11,4,0,P1 FitzVonGerald,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,9,0.0
