,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0.0,2.0,0.0,3.0,0.0,,
3,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0.0,1.0,0.0,2.0,0.0,0.0,
4,4,30,30,P2 Viper,0,0,1,0,0,0,0,2,1.0,0.0,2.0,2.0,0.0,1.0,
5,5,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0.0,1.0,1.0,2.0,0.0,0.0,
6,6,30,29,P2 Viper,0,0,1,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7,7,30,22,P1 Roffle,0,0,1,1,0,0,0,3,0.0,0.0,3.0,4.0,,,
8,8,30,22,P2 Viper,0,0,1,2,0,0,0,0,0.0,2.0,0.0,2.0,0.0,1.0,
9,9,30,12,P1 Roffle,0,0,1,1,0,0,0,7,,,,,,,
10,10,16,12,P2 Viper,0,0,4,4,0,0,0,2,1.0,2.0,,,,,
