,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0
2,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0.0,2.0,0.0,1.0,
3,3,30,28,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0.0,3.0,0.0,,
4,4,26,28,P2 Viper,0,0,1,2,0,0,0,1,0,2,0.0,3.0,0.0,,
5,5,24,19,P1 Roffle,0,0,2,1,0,0,0,3,0,0,0.0,,,,
6,6,18,19,P2 Viper,0,0,1,1,0,0,0,3,0,1,0.0,4.0,,,
7,7,18,14,P1 Roffle,0,0,1,2,0,0,0,3,0,2,0.0,,,,
8,8,9,14,P2 Viper,0,0,1,1,0,0,0,4,0,1,0.0,,,,
9,9,9,5,P1 Roffle,0,0,1,1,0,0,0,5,2,1,,,,,
10,10,6,5,P2 Viper,0,0,1,2,0,0,0,2,0,1,0.0,4.0,,,
