,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
2,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1
3,3,30,28,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2
4,4,29,28,P2 Viper,0,0,1,2,0,0,0,1,1,1,2,3,0,2,0,0,4,2
5,5,29,23,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3
6,6,24,23,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3
7,7,24,12,P1 Roffle,0,0,1,1,0,0,0,4,0,1,0,5,0,0,0,3,7,1
8,8,14,12,P2 Viper,0,0,1,1,0,0,0,5,0,1,1,6,0,2,0,0,11,4
9,9,14,9,P1 Roffle,0,0,1,1,0,0,0,4,1,0,3,5,0,1,0,1,11,4
10,10,8,9,P2 Viper,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,1,15,4
