,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
2,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1
3,3,30,27,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2
4,4,28,27,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2
5,5,28,22,P1 Roffle,0,0,1,3,0,0,0,2,0,2,0,5,0,1,0,0,6,3
6,6,25,22,P2 Viper,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,1,6,2
7,7,25,15,P1 Roffle,0,0,1,2,0,0,0,3,0,1,0,5,0,2,0,2,8,2
8,8,18,15,P2 Viper,0,0,1,1,0,0,0,5,2,1,3,6,0,1,0,0,10,4
9,9,18,13,P1 Roffle,0,0,1,1,0,0,0,3,1,1,3,4,0,2,0,2,11,3
10,10,13,13,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,13,3
11,11,13,4,P1 Roffle,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,5,12,1
12,12,2,4,P2 Viper,0,0,1,2,0,0,0,5,0,1,0,7,0,2,0,0,19,6
