,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0
2,2,30,30,P2 Viper,0,0,4,3,0,0,0,0,0,1,0.0,3.0,0.0,,
3,3,30,29,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0.0,3.0,0.0,,
4,4,30,29,P2 Viper,0,0,1,1,0,0,0,1,1,1,1.0,2.0,0.0,2.0,
5,5,30,25,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0.0,3.0,0.0,,
6,6,30,25,P2 Viper,0,0,1,1,0,0,0,2,2,1,3.0,3.0,0.0,,
7,7,28,16,P1 Roffle,0,0,2,2,0,0,0,3,0,1,,,,,
8,8,26,16,P2 Viper,0,0,1,1,0,0,0,1,0,1,0.0,2.0,0.0,2.0,
9,9,26,12,P1 Roffle,0,0,1,1,0,0,0,4,2,0,3.0,,,,
10,10,20,12,P2 Viper,0,0,1,3,0,0,0,2,1,2,1.0,,,,
