,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
2,2,30,26,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1
3,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2
4,4,26,26,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,3,1
5,5,24,20,P1 Roffle,0,0,2,1,0,0,0,2,0,0,0,3,0,2,1,0,6,3
6,6,21,20,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,6,3
7,7,21,18,P1 Roffle,0,0,1,1,0,0,0,2,0,0,0,3,0,3,1,0,10,4
8,8,17,18,P2 Viper,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,1,9,3
9,9,17,12,P1 Roffle,0,0,1,1,0,0,0,6,0,0,0,7,0,4,1,1,14,4
10,10,9,12,P2 Viper,0,0,1,1,0,0,0,7,1,1,2,8,0,1,0,3,11,2
11,11,9,6,P1 Roffle,0,0,1,2,0,0,0,6,0,1,0,8,0,5,1,3,17,3
