,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
2,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1
3,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1
4,4,30,30,P2 Viper,0,0,4,2,0,0,0,2,1,1,1,4,0,2,0,0,4,2
5,5,30,26,P1 Roffle,0,0,1,1,0,0,0,2,2,0,2,3,0,1,0,2,3,1
6,6,28,26,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3
7,7,28,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,7,4
8,8,23,26,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,0,11,4
9,9,23,26,P1 Roffle,0,0,1,1,0,0,0,4,4,1,5,5,0,2,0,3,9,2
10,10,17,26,P2 Viper,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,5,11,0
11,11,17,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,5,10,1
12,12,12,26,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,1,16,5
13,13,12,24,P1 Roffle,0,0,1,0,0,0,0,2,1,0,2,2,0,2,0,7,10,0
