,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
2,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1
3,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,2,1
4,4,30,30,P2 Viper,0,0,1,0,0,0,0,2,1,0,1,2,0,1,0,2,2,0
5,5,30,30,P1 Roffle,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,2,3,1
6,6,26,30,P2 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,1,4,2
7,7,26,30,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,7,4
8,8,24,30,P2 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,8,4
9,9,24,22,P1 Roffle,0,0,1,2,0,0,0,5,2,0,3,7,0,3,0,0,12,5
10,10,8,22,P2 Viper,0,0,1,1,0,0,0,4,0,0,0,5,0,3,0,1,12,4
11,11,8,11,P1 Roffle,0,0,1,0,0,0,0,7,0,0,0,7,0,3,0,6,12,0
