,CurrentPlayer,PlayerStrategy,AvgHealedPerTurn,AvgHeroAttacksPerTurn,AvgCardsDrawnPerTurn,AvgCardsPlayedPerTurn,AvgNumCardsToDraw,AvgFriendlyMinionAttacksPerTurn,AvgFriendlyMinionDeathsPerTurn,AvgMinionsPlayedPerTurn,AvgNumMinionsKilledPerTurn,AvgOptionsPlayedPerTurn,NumSpellsPlayedPerGame,NumHeroPowersUsedPerGame,TotalManaSpentPerGame,AvgRemainingManaPerTurn,AvgManaUsedPerTurn
24602,1.0,1.0,0.3,0.0,1.0,0.6,0.0,1.0,0.0,0.6,0.3,1.6,0.0,0.0,31.0,2.4,3.1
24603,2.0,1.0,0.78,0.0,1.56,1.44,0.0,0.0,0.22,0.67,0.44,1.44,7.0,1.0,38.0,0.89,4.11
24604,1.0,1.0,0.55,0.0,1.4,1.3,0.0,0.15,0.15,0.8,0.6,1.45,10.0,4.0,109.0,2.3,5.45
24605,2.0,1.0,0.15,0.0,1.5,1.35,0.0,0.55,0.5,1.05,1.1,2.1,6.0,8.0,130.0,1.3,6.45
24606,1.0,1.0,0.4,0.0,1.3,1.0,0.0,0.4,0.2,0.7,0.6,1.4,3.0,1.0,38.0,1.7,3.8
24607,2.0,1.0,0.2,0.0,1.6,1.2,0.0,1.0,0.2,0.9,0.3,2.2,3.0,2.0,37.0,1.9,3.6
24608,1.0,1.0,0.5,0.0,1.21,1.0,0.0,1.36,0.36,0.86,1.07,2.43,2.0,1.0,58.0,2.64,4.14
24609,2.0,1.0,0.23,0.0,1.23,1.54,0.0,0.92,0.08,1.23,0.54,2.54,4.0,3.0,74.0,0.92,5.62
24610,1.0,1.0,0.27,0.0,1.36,1.45,0.0,0.64,0.36,0.82,1.0,2.09,7.0,2.0,50.0,1.36,4.55
24611,2.0,1.0,0.27,0.0,1.55,1.45,0.0,0.64,0.0,1.27,0.27,2.09,2.0,1.0,57.0,0.82,5.09
24612,1.0,1.0,0.21,0.0,1.07,1.29,0.0,0.79,0.29,1.14,0.79,2.07,2.0,1.0,82.0,0.93,5.86
24613,2.0,1.0,0.5,0.0,1.5,1.43,0.0,0.5,0.36,0.93,0.86,2.0,7.0,4.0,69.0,1.93,4.86
24614,1.0,1.0,0.44,0.0,1.78,1.33,0.0,1.0,0.22,1.22,0.56,2.44,1.0,2.0,43.0,0.22,4.78
24615,2.0,1.0,0.38,0.0,1.12,1.0,0.0,0.25,0.0,0.62,0.25,1.25,3.0,1.0,31.0,0.75,3.75
24616,1.0,1.0,0.31,0.0,1.23,1.08,0.0,0.38,0.0,0.92,0.08,1.54,2.0,1.0,61.0,1.85,4.69
24617,2.0,1.0,0.25,0.0,1.0,1.17,0.0,0.75,0.67,0.75,1.92,1.92,5.0,0.0,49.0,2.25,4.0
24618,1.0,1.0,0.81,0.0,2.12,1.5,0.0,0.81,0.62,1.0,1.25,2.31,8.0,5.0,103.0,0.75,6.44
24619,2.0,1.0,0.27,0.0,1.4,1.53,0.0,0.2,0.13,1.0,0.53,1.73,8.0,3.0,82.0,1.6,5.4
24620,1.0,1.0,0.91,0.0,1.36,1.18,0.0,1.27,0.18,0.73,1.0,2.45,5.0,1.0,55.0,0.91,5.0
24621,2.0,1.0,1.1,0.0,1.5,1.6,0.0,0.2,0.1,1.0,0.5,1.9,6.0,0.0,47.0,0.9,4.6
24622,1.0,1.0,0.19,0.0,1.25,1.25,0.0,0.31,0.38,0.88,0.88,1.56,6.0,2.0,90.0,1.56,5.62
24623,2.0,1.0,0.5,0.0,1.69,1.38,0.0,0.81,0.19,0.81,0.69,2.25,9.0,0.0,72.0,2.75,4.44
24624,1.0,1.0,0.41,0.0,1.65,1.29,0.0,0.35,0.06,1.06,0.53,1.65,4.0,4.0,97.0,1.65,5.71
24625,2.0,1.0,0.38,0.0,1.56,1.44,0.0,0.88,0.5,1.12,1.12,2.31,5.0,4.0,93.0,1.44,5.75
24626,1.0,1.0,0.41,0.0,1.65,1.41,0.0,0.76,0.35,1.18,1.0,2.18,4.0,3.0,97.0,1.65,5.71
24627,2.0,1.0,0.56,0.0,1.75,1.56,0.0,0.25,0.19,0.88,1.12,1.81,11.0,3.0,96.0,1.25,5.94
24628,1.0,1.0,0.0,0.0,1.0,0.83,0.0,0.83,0.0,0.75,0.17,1.75,1.0,0.0,49.0,1.42,3.75
24629,2.0,1.0,0.73,0.0,1.55,1.27,0.0,0.09,0.55,0.82,1.18,1.36,5.0,2.0,47.0,1.0,4.18
24630,1.0,1.0,0.31,0.0,2.23,1.38,0.0,0.62,0.46,0.85,1.38,2.0,7.0,4.0,67.0,1.38,5.15
24631,2.0,1.0,0.0,0.0,1.62,1.54,0.0,0.77,0.23,1.38,0.77,2.46,2.0,0.0,69.0,1.31,5.23
24632,1.0,1.0,0.64,0.0,1.82,1.18,0.0,0.45,0.18,0.73,0.64,1.64,5.0,2.0,48.0,1.55,4.36
24633,2.0,1.0,0.27,0.0,1.64,1.36,0.0,0.82,0.27,1.09,0.82,2.18,3.0,1.0,48.0,1.64,4.27
24634,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.83,0.08,0.83,0.5,1.83,2.0,0.0,61.0,1.17,5.08
24635,2.0,1.0,0.55,0.0,1.36,1.36,0.0,0.27,0.09,0.73,0.91,1.64,7.0,1.0,51.0,1.36,4.55
24636,1.0,1.0,0.0,0.0,1.8,1.3,0.0,0.5,0.2,1.0,1.0,1.8,3.0,2.0,51.0,0.4,5.1
24637,2.0,1.0,0.3,0.0,1.2,1.3,0.0,0.5,0.0,0.9,0.7,1.8,4.0,1.0,40.0,1.6,3.9
24638,1.0,1.0,0.43,0.0,1.36,1.07,0.0,0.57,0.36,0.79,1.5,1.71,4.0,1.0,64.0,2.21,4.57
24639,2.0,1.0,0.23,0.0,1.23,1.38,0.0,0.77,0.38,1.15,0.85,2.23,3.0,3.0,76.0,0.77,5.77
24640,1.0,1.0,0.0,0.0,1.36,1.0,0.0,1.0,0.18,0.82,0.73,2.0,2.0,1.0,57.0,0.73,5.18
24641,2.0,1.0,0.3,0.0,1.5,1.4,0.0,0.1,0.2,0.8,0.9,1.5,6.0,1.0,40.0,1.6,3.9
24642,1.0,1.0,0.33,0.0,1.0,0.78,0.0,0.56,0.22,0.78,0.56,1.33,0.0,0.0,30.0,1.67,3.33
24643,2.0,1.0,0.0,0.0,1.56,1.22,0.0,1.33,0.33,0.89,0.67,2.56,3.0,0.0,35.0,1.22,3.78
24644,1.0,1.0,0.4,0.0,1.8,1.0,0.0,0.73,0.13,0.73,0.67,1.73,4.0,4.0,74.0,2.07,4.93
24645,2.0,1.0,0.71,0.0,1.64,1.57,0.0,0.21,0.43,1.0,1.07,1.79,8.0,4.0,81.0,1.07,5.71
24646,1.0,1.0,0.53,0.0,1.27,1.33,0.0,0.4,0.4,0.8,0.87,1.73,8.0,3.0,78.0,1.8,5.2
24647,2.0,1.0,0.4,0.0,1.33,1.2,0.0,0.47,0.2,0.8,0.53,1.67,6.0,1.0,72.0,2.27,4.73
24648,1.0,1.0,0.17,0.0,1.75,1.17,0.0,0.83,0.33,0.67,0.92,2.0,6.0,1.0,53.0,1.83,4.42
24649,2.0,1.0,0.27,0.0,1.91,1.45,0.0,0.09,0.27,1.09,0.55,1.55,4.0,1.0,57.0,0.82,5.09
24650,1.0,1.0,0.86,0.0,1.5,1.0,0.0,0.93,0.36,0.64,1.0,1.93,5.0,3.0,54.0,2.93,3.86
24651,2.0,1.0,0.31,0.0,1.46,1.15,0.0,0.0,0.0,0.69,0.23,1.15,6.0,1.0,48.0,2.92,3.62
24652,1.0,1.0,0.0,0.0,1.0,1.09,0.0,0.45,0.09,1.09,0.27,1.64,0.0,0.0,44.0,1.91,4.0
24653,2.0,1.0,0.0,0.0,1.0,1.3,0.0,0.7,0.7,0.9,1.5,2.0,4.0,0.0,45.0,1.1,4.4
24654,1.0,1.0,0.5,0.0,2.21,1.36,0.0,1.0,0.36,0.79,1.14,2.36,8.0,3.0,78.0,1.21,5.57
24655,2.0,1.0,0.54,0.0,1.69,1.38,0.0,0.0,0.08,0.85,0.38,1.38,7.0,1.0,59.0,2.08,4.46
24656,1.0,1.0,0.2,0.0,1.4,0.9,0.0,0.3,0.2,0.7,0.9,1.7,2.0,2.0,43.0,1.2,4.3
24657,2.0,1.0,0.0,0.0,1.0,0.9,0.0,0.8,0.0,0.7,0.3,1.7,2.0,0.0,34.0,2.2,3.3
24658,1.0,1.0,0.27,0.0,1.64,1.36,0.0,1.45,0.27,1.0,0.82,2.91,4.0,2.0,40.0,2.27,3.64
24659,2.0,1.0,0.3,0.0,1.6,1.2,0.0,0.2,0.0,0.9,0.3,1.4,3.0,1.0,48.0,0.8,4.7
24660,1.0,1.0,0.17,0.0,1.58,1.17,0.0,0.67,0.42,0.92,0.83,1.83,3.0,1.0,56.0,1.58,4.67
